College,Major,Degree
School of Business,Accounting,B.S.
School of Business,Human Resource Management,B.S.
School of Business,Information Technology Management,B.S.
School of Business,Business Management,B.S.
School of Business,Marketing,B.S.
School of Business,Communications,B.S.
School of Business,Finance,B.S.
School of Business,Healthcare Administration,B.S.
School of Business,Supply Chain and Operations Management,B.S.
School of Business,User Experience Design,B.S.
School of Business,Business Administration,MBA
School of Business,Information Technology Management,MBA
School of Business,Healthcare Administration,MBA
School of Business,Management and Leadership,M.S.
School of Business,Marketing (Digital Marketing Specialization),M.S.
School of Business,Marketing (Marketing Analytics Specialization),M.S.
School of Business,Accounting - Auditing,M.S.
School of Business,Accounting - Financial Reporting,M.S.
School of Business,Accounting - Management Accounting,M.S.
School of Business,Accounting - Taxation,M.S.
School of Business,Human Resource Management,M.S.
Leavitt School of Health,Nursing Prelicensure (Pre-Nursing),B.S.
Leavitt School of Health,Nursing Prelicensure (Nursing),B.S.
Leavitt School of Health,Nursing (RN to BSN),B.S.
Leavitt School of Health,Health Information Management,B.S.
Leavitt School of Health,Health and Human Services,B.S.
Leavitt School of Health,Health Science,B.S.
Leavitt School of Health,Psychology,B.S.
Leavitt School of Health,Public Health,B.S.
Leavitt School of Health,Nursing - Family Nurse Practitioner,M.S.
Leavitt School of Health,Nursing - Psychiatric Mental Health Nurse Practitioner,M.S.
Leavitt School of Health,Nursing - Education,M.S.
Leavitt School of Health,Nursing - Leadership and Management,M.S.
Leavitt School of Health,Nursing - Nursing Informatics,M.S.
Leavitt School of Health,Nursing - Education (RN to MSN),M.S.
Leavitt School of Health,Nursing - Leadership and Management (RN to MSN),M.S.
Leavitt School of Health,Nursing - Nursing Informatics (RN to MSN),M.S.
Leavitt School of Health,Healthcare Administration,MHA
Leavitt School of Health,Public Health,MPH
School of Technology,Cloud and Network Engineering,B.S.
School of Technology,Cloud and Network Engineering - Amazon Web Services,B.S.
School of Technology,Cloud and Network Engineering - Cisco,B.S.
School of Technology,Cloud and Network Engineering - Microsoft Azure,B.S.
School of Technology,Computer Science,B.S.
School of Technology,Computer Science (BSCS to MSCS),B.S.
School of Technology,Cybersecurity and Information Assurance,B.S.
School of Technology,Data Analytics,B.S.
School of Technology,Information Technology,B.S.
School of Technology,Information Technology (BSIT to MSITM),B.S.
School of Technology,Software Engineering (Java Track),B.S.
School of Technology,Software Engineering (C# Track),B.S.
School of Technology,Software Engineering (BSSWE to MSSWE),B.S.
School of Technology,Computer Science - Artificial Intelligence and Machine Learning,M.S.
School of Technology,Computer Science - Computing Systems,M.S.
School of Technology,Computer Science - Human-Computer Interaction,M.S.
School of Technology,Cybersecurity and Information Assurance,M.S.
School of Technology,Data Analytics (Data Science),M.S.
School of Technology,Data Analytics (Data Engineering),M.S.
School of Technology,Data Analytics (Decision Process Engineering),M.S.
School of Technology,Information Technology Management,M.S.
School of Technology,Software Engineering - AI Engineering,M.S.
School of Technology,Software Engineering - DevOps Engineering,M.S.
School of Technology,Software Engineering - Domain Driven Design,M.S.
School of Education,Elementary Education,B.A.
School of Education,Special Education and Elementary Education (Dual Licensure),B.A.
School of Education,Special Education (Mild to Moderate),B.A.
School of Education,Mathematics Education (Secondary),B.S.
School of Education,Science Education (Secondary Biological Science),B.S.
School of Education,Science Education (Secondary Chemistry),B.S.
School of Education,Science Education (Secondary Earth Science),B.S.
School of Education,Science Education (Secondary Physics),B.S.
School of Education,Educational Studies in Elementary Education,B.A.
School of Education,Educational Studies in Special and Elementary Education,B.A.
School of Education,Educational Studies in Mild to Moderate Exceptionalities Special Education,B.A.
School of Education,Educational Studies in Secondary Mathematics Education,B.A.
School of Education,Educational Studies in Secondary Biological Science Education,B.A.
School of Education,Educational Studies in Secondary Chemistry Science Education,B.A.
School of Education,Educational Studies in Secondary Earth Science Education,B.A.
School of Education,Educational Studies in Secondary Physics Science Education,B.A.
